Track URI;Track Name;Album Name;Artist Name(s);Year;Genres;Record Label;;
spotify:track:6fz4U560X7yuH8SUqF6MJm;"""Por Costumbre - 2017 Remaster""";"""Play/Replay""";"""Solar""";2017;"""latin rock""";"""Mapa Records""";;
spotify:track:1BrGFEF1grdFt08NVPUBEN;"""Buitres""";"""Remoto Control""";"""Matorral""";2013;"""rock alternativo";"""Cápsula Discos""";;
spotify:track:634sIbiTxbS3k3D1nOBd0Y;"""Maestro Distorsión""";"""Le Disc de Astrou""";"""Astro""";2009;"""latin indie";"latin alternative""";;
spotify:track:3BDwAworusOI74Qc8kmtke;"""Del volar de las palomas""";"""La revolucion de las flores""";"""Los Blops""";1971;"""latin folklore";progressive rock;;
spotify:track:273RiyloYbmnFHKORe6Rpr;"""Cancion Pacifico-Violenta""";"""Buscando Chilenos Vol. 1""";"""Sexual Democracia""";1990;"""latin rock""";"""Alerce""";;
spotify:track:6EYVI4zwxzP3EnViyiI5x0;"""Millones""";"""Almismotiempo""";"""Camila Moreno""";2009;"""latin folk";trova;;
spotify:track:6iG20hjfwtlS4CVuycLEyp;"""Esas Mañanas - Bonus Track""";"""Jorge Gonzalez""";"""Jorge González""";1993;"""latin rock""";"""EMI CHILE""";;
spotify:track:6DMJgEypZO4WnIFWPSwkbt;"""Morder""";"""Grandes Éxitos""";"""De Saloon""";2004;"""latin rock""";"""De Saloon""";;
spotify:track:6UbAzavTNvySHWrETLFryF;"""Vacaciones en el Más Allá""";"""Cripta y Vida""";"""Pedropiedra""";2011;"""latin indie";"latin rock""";;
spotify:track:0LJgnWjRvbM60ieEVAJcAO;"""Día Cero""";"""Invisible""";"""La Ley""";1995;"""rock en español";latin rock;;
spotify:track:4wWl4cuH2UQqIkpZg1BBhX;"""Humedad""";"""Corte en Trámite""";"""Javiera & Los Imposibles""";1995;"""latin rock""";"""Evolución Discos""";;
spotify:track:5TXzVBQj31PD1YIS2Ll1mp;"""Sanatorio""";"""Delusional""";"""BBS Paranoicos""";2019;"""melodic hardcore";punk;;
spotify:track:7rkqFCWk4vhvfL4KJcX1lW;"""De un Extranjero""";"""Manduka""";"""Manduka""";1997;"""folk";"""Arci Music""";;
spotify:track:4kbb2FdpFOJNqFJS8xjzCF;"""Waterfall""";"""Vol.2""";"""Aguaturbia""";2011;"""psychedelic rock";"acid rock""";;
spotify:track:3NJRgHeqBfHW8EI7ZYpg0z;"""Estrechez De Corazón""";"""Corazones""";"""Los Prisioneros""";1990;"""latin rock";"rock en español""";;
spotify:track:5RQIFZ25QheLbSLGDxfxzo;"""Namás""";"""Gepinto""";"""Gepe";2013;"""folk";"""latin indie";;
spotify:track:1iCVobzc6lYXEdvTN0bloD;"""La Conquistada""";"""Los Jaivas""";"""Los Jaivas""";1979;"""latin folklore";folclor andino;;
spotify:track:7IvHuh3TYgeQa3Wj3gMrAK;"""Por Ella""";"""Historias De La Calle""";"""GUFI""";2000;"""latin rock""";"""Volador""";;
spotify:track:6NwchOKm2861OadTosSbD3;"""Caballero Negro""";"""Caballero Negro""";"""Feedback Chile""";2000;"""speed metal""";"""Pra & Rocktop Records""";;
spotify:track:1TmhcMiKugkz7bfryEJGR3;"""Hacia el Fondo""";"""Pez""";"""Rubio""";1997;"""latin indie""";"""Rubio""";;
spotify:track:1CP8j9qn2pxY85lBV59sX6;"""Pisagua 1973""";"""25 Años y Todo Sigue Igual""";"""Los Miserables""";1977;"""latin rock";ska punk;;
spotify:track:0GnZe0T0bF4ZnkVXYHFvK6;"""El Sonido""";"""El Sonido""";"""Guiso""";1997;"""garage rock""";"""Sello Algorecords""";;
spotify:track:6BhCYG1npuuuXnwCicz1sR;"""Vete""";"""Peces""";"""Lucybell""";2003;"""latin rock";"rock en español""";;
spotify:track:36VJrVTuKwedxqftzsIXXU;"""Canción para mañana""";"""La Culpa""";"""Los Bunkers""";2008;"""latin rock";rock en español;;
spotify:track:2lqmQNbNZUVwGu6M4d3Ggn;"""Muérdete La Lengua""";"""Muérdete La Lengua (Edición Especial)""";"""Francisca Valenzuela""";1997;"""latin rock""";"""Frantastic Records""";;
spotify:track:5LKPu4OSlchWX1N0UZ95Bi;"""Sinfonia de Cuna""";"""Peor Es Mascar Lauchas""";"""Chancho En Piedra""";1971;"""latin rock";"funk rock""";;
spotify:track:6iv2RejVrtRlzbz6XfLD02;"""Ciudad Traicionera""";"""Taxi para 3""";"""Joe Vasconcellos""";1987;"""latin rock";"latin alternative""";;
spotify:track:0wj12fTADisqnICDGyMgHh;"""Columpio""";"""Paraiso""";"""Adelaida""";2003;"""shoegaze";"latin indie""";;
spotify:track:2xpd52DVf5Eq8L8vLvScGk;"""Contigo""";"""Lance""";"""Niños Del Cerro""";1995;"""latin indie";"neo-psychedelic""";;
;"""Menta";" miel y sangra""";"""Vampiros""";1995;"""rock gotico";2024-04-19T21:39:04Z;;
spotify:track:2LPwCxN5T5rTCU3PTOdMvS;"""Chilenada""";"""Dracma""";"""Dracma""";1976;"""nu metal";"rap metal""";;
spotify:track:0o0DyTpVblyB3KXKVOJtLu;"""Fé""";"""Fe""";"""Mamma Soul""";2010;"""soul";"""EMI CHILE""";;
spotify:track:0X95YZY5tGIxfx5k5XnfVL;"""Éramos Todos Felices""";"""Bailar y Llorar""";"""Teleradio Donoso""";2008;"""latin indie";"latin rock""";;
spotify:track:7diAQCsv2v3aDiFc4IuMLG;"""Señora Civilizada""";"""Señoras""";"""Los Valentina""";1984;"""latin indie""";"""Piloto""";;
spotify:track:5nSyefH3k7dpjK1xPuZXah;"""La Escoba""";"""Cumbia Chilombiana""";"""Chico Trujillo""";1995;"""cumbia";chicha;;
spotify:track:7wY9Vf8nZDbFC97ZoikUbM;"""Laurel""";"""El día libre de Polux""";"""Chini.png""";2001;"""latin indie";"art rock""";;
spotify:track:2jWRTma0tFontD1X7e7G5B;"""El Twist del Esqueleto""";"""Impacto N° 3""";"""Hermanos Arriagada""";1997;"""bolero""";"""Latin Music Record""";;
spotify:track:6XeYyIBxD5FES4Pmc2vtjG;"""Demadness""";"""Improve the Silence""";"""Dogma""";2002;"""groove metal""";"""Toxic""";;
spotify:track:2s3Vw9U7RGza0UKt7NeVSj;"""Sonic Redemption""";"""Daybreak""";"""The Ganjas""";2004;"""space rock";stoner rock;;
spotify:track:6HV2i2XhsPXujockvUkqTf;"""Zapatillas""";"""Amanda""";"""El Cómodo Silencio De Los Que Hablan Poco""";2003;"""latin indie""";"""Disco Intrépido""";;
spotify:track:7qXsSruTL4u0X30bHMmaAT;"""Pájaros de fuego""";"""Los Tres""";"""Los Tres""";2006;"""latin rock";rock en español;;
spotify:track:2Zu7fuz7Ao2QND7OQpIeKt;"""Disparan (Fill the Skies)""";"""Disparan (Fill the Skies)""";"""Como Asesinar a Felipes";2007;"""hip hop""";"""hip hop""";;
spotify:track:2gAcCepS8mKQwDnc5CHUef;"""Confío""";"""Persona""";"""Jirafa Ardiendo""";2011;"""neo-psychedelic""";"""Disco Intrépido""";;
spotify:track:4ljxScl9mHiMwfwjLbXexV;"""Mawiza Ñi Piwke""";"""Kollong""";"""Mawiza""";2019;"""groove metal";"folk metal""";;
spotify:track:2FvjOgChSYk5GCijmWbKMb;"""La Matanza de Corpus Christi""";"""Derrumbe y Celebracion""";"""Tenemos Explosivos""";1971;"""post-hardcore";melodic hardcore;;
spotify:track:7gYpwt0z7gX3XJrEd3vRbw;"""Hijos del Peligro""";"""La Sombra""";"""( Me Llamo ) Sebastián""";1997;"""latin folk";"latin indie""";;
spotify:track:0MkwaxQXpUMfjtJbcZHubr;"""El sonido de los helicópteros""";"""Dialéctica Negativa""";"""Asamblea Internacional Del Fuego""";2015;"""screamo";post-hardcore;;
spotify:track:4tlcX4PcsqmRKfZq7cGPhM;"""Las Meninas""";"""Mecanica Popular""";"""Mecanica Popular""";1992;"""latin rock";"trova""";;
spotify:track:0ikDcCBCWv4IjdOpimKiH4;"""De Doble Filo""";"""Comenzara De Nuevo""";"""Como Asesinar a Felipes""";1985;"""experimental hip hop";"jazz rap""";;
spotify:track:4FzHvtkHowFwH9vXuDZRPJ;"""Has Sabido Sufrir""";"""La Nueva Canción Chilena""";"""Electrodomésticos""";1971;"""latin rock""";"""Electrodomésticos""";;
spotify:track:5YnyqAzEqPIspbfFEGdAhB;"""Canto Sin Nombre""";"""Embrujo""";"""Embrujo""";1970;"""art rock""";"""Planet Blue Records USA""";;
spotify:track:0FN8k6UEPL90YR4DI3neeZ;"""El Bosque""";"""Aves de Chile""";"""Niño Cohete""";2008;"""latin indie";"latin folk""";;
spotify:track:6tiIpsIQWiJPQuCh0lxFhd;"""Nueva Sociedad""";"""La Leyenda de los Jockers""";"""Los Jockers""";1984;"""rock and roll""";"""Arci Music""";;
spotify:track:6ygf36lTU1bMocl46hZOAG;"""2022""";"""Justo y Necesario""";"""Fother Muckers""";2014;"""latin indie";"latin rock""";;
